url,filename,date,knesset_num,title
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_44.pdf,hachlatot15_44.pdf,2002-06-11,15,"החלטת ועדת האתיקה בקובלנות של חברי הכנסת אחמד טיבי, עזמי בשארה ואיתן כבל נגד ח""כ אליעזר (צ'יטה) כהן"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_47.pdf,hachlatot15_47.pdf,2002-06-24,15,"תיקון חוק חסינות חברי הכנסת, זכויותיהם וחובותיהם, התשי""א-‎1951"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_48.pdf,hachlatot15_48.pdf,2002-10-14,15,החלטת ועדת האתיקה בעניין כהונה של חברי הכנסת במוסדות ההסתדרות הכללית החדשה
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot15_49.pdf,hachlatot15_49.pdf,2002-10-22,15,"החלטת ועדת האתיקה בענין העדרות מישיבות הכנסת בכנס הקיץ התשס""א-‎2001"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_1.pdf,hachlatot16_1.pdf,2003-06-10,16,"החלטה בענין הצבעתו הכפולה של ח""כ גורלובסקי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_3.pdf,hachlatot16_3.pdf,2003-06-24,16,"בקובלנה של סגן יו""ר הכנסת ה-15, יגאל ביבי נגד ח""כ מוחמד ברכה"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_2.pdf,hachlatot16_2.pdf,2003-06-24,16,"בקובלנה של ח""כ אורי יהודה אריאל נגד ח""כ אחמד טיבי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_4.pdf,hachlatot16_4.pdf,2003-07-08,16,"בקובלנה של היועץ המשפטי לממשלה נגד ח""כ אחמד טיבי"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_7.pdf,hachlatot16_7.pdf,2003-07-22,16,"בקובלנה של ח""כ צבי הנדל, סגן שר במשרד החינוך, התרבות והספורט נגד ח""כ מוחמד ברכה"
https://main.knesset.gov.il/Activity/committees/Ethics/Documents/hachlatot16_6.pdf,hachlatot16_6.pdf,2003-07-22,16,"בקובלנה של ח""כ עזמי בשארה נגד ח""כ גדעון סער"
